SETOR;Subsetores;Produtos;CO_NCM;DESCRIÇÃO
COUROS, PRODUTOS DE COURO E PELETERIA;COUROS E PELES DE BOVINOS OU EQUÍDEOS;OUTROS COUROS/PELES DE BOVINOS, CURTIDO;41041020;COURO/PELE INTEIRA,DE BOVINO,S<=2.6M2,'BOX-CALF'
COUROS, PRODUTOS DE COURO E PELETERIA;COUROS E PELES DE BOVINOS OU EQUÍDEOS;OUTROS COUROS/PELES DE BOVINOS, CURTIDO;41041090;OUTS.COUROS/PELES INTEIRAS,BOVINAS,S<=2.6M2,PREPARADOS
COUROS, PRODUTOS DE COURO E PELETERIA;COUROS E PELES DE BOVINOS OU EQUÍDEOS;COUROS/PELES DE BOVINOS, CURTIDO, WET BLUE;41041111;COUROS INT.BOVINOS,N/DIV.'WET BLUE',S<=2,6M2
COUROS, PRODUTOS DE COURO E PELETERIA;COUROS E PELES DE BOVINOS OU EQUÍDEOS;OUTROS COUROS/PELES DE BOVINOS, CURTIDO;41041112;COUROS INT.BOVINOS,N/DIV.UM.PENA FLOR<=2,6M2
COUROS, PRODUTOS DE COURO E PELETERIA;COUROS E PELES DE BOVINOS OU EQUÍDEOS;OUTROS COUROS/PELES DE BOVINOS, CURTIDO;41041113;OUTS.COUROS BOVINOS,N/DIV.UMID.PRE-CURT.VEG.
COUROS, PRODUTOS DE COURO E PELETERIA;COUROS E PELES DE BOVINOS OU EQUÍDEOS;OUTROS COUROS/PELES DE BOVINOS, CURTIDO;41041114;OUTS.COUROS BOVINOS,INCL.BUFALOS,N/DIV.UMID.PENA FLOR
COUROS, PRODUTOS DE COURO E PELETERIA;COUROS E PELES DE BOVINOS OU EQUÍDEOS;COUROS/PELES DE EQUÍDEOS, CURTIDO;41041119;COUROS EQUIDEOS,N/DIV.UMID.PENA FLOR
COUROS, PRODUTOS DE COURO E PELETERIA;COUROS E PELES DE BOVINOS OU EQUÍDEOS;COUROS/PELES DE BOVINOS, CURTIDO, WET BLUE;41041121;COUROS INT.BOVINOS,DIVID.'WET BLUE',S<=2,6M2
COUROS, PRODUTOS DE COURO E PELETERIA;COUROS E PELES DE BOVINOS OU EQUÍDEOS;OUTROS COUROS/PELES DE BOVINOS, CURTIDO;41041122;COUROS INT.BOVINOS,DIV.UM.PENA FLOR,S<=2,6M2
COUROS, PRODUTOS DE COURO E PELETERIA;COUROS E PELES DE BOVINOS OU EQUÍDEOS;OUTROS COUROS/PELES DE BOVINOS, CURTIDO;41041123;OUTS.COUROS BOVINOS,DIV.UMID.PRE-CURT.VEG
